Id,Predicted
0,1544836.0153256706
1,1720462.5531914893
2,1605266.2921348314
3,629752.2471910112
4,748592.4324324324
5,817258.5209003215
6,8033200.0
7,841560.0
8,420768.53146853147
9,1807248.1707317072
10,6301440.718562874
11,1639950.6493506494
12,1483150.0
13,748592.4324324324
14,1543963.888888889
15,2962979.5918367347
16,623827.5167785235
17,1438597.142857143
18,696202.1653543307
19,482559.28571428574
20,1824610.810810811
21,768840.625
22,1521673.1601731603
23,3160776.119402985
24,2254720.701754386
25,841212.9629629629
26,1731278.125
27,1085884.0
28,13429500.0
29,420768.53146853147
30,5600709.696969697
31,659045.1162790698
32,838557.4566473989
33,2315054.117647059
34,1938887.2641509434
35,687486.9565217391
36,830644.6153846154
37,5130394.392523364
38,10736250.0
39,3859666.4429530203
40,6376131.446540881
41,659045.1162790698
42,817258.5209003215
43,4336525.641025641
44,768840.625
45,418472.54098360654
46,712618.2572614108
47,1672852.0607375272
48,419886.3333333333
49,608987.9432624114
50,416037.9487179487
51,629752.2471910112
52,2254720.701754386
53,12302545.714285715
54,7351992.405063291
55,817258.5209003215
56,1722730.4747320062
57,3247114.285714286
58,2820257.0359281437
59,1722730.4747320062
60,8736487.272727273
61,2844890.434782609
62,3311859.1463414636
63,2036059.5360824743
64,12302545.714285715
65,911178.6279683377
66,623827.5167785235
67,682650.0
68,817258.5209003215
69,574988.4792626728
70,809105.7620817844
71,1507441.0526315789
72,3185134.6153846155
73,1534868.4478371502
74,419243.2773109244
75,420768.53146853147
76,1581520.0
77,707968.8311688312
78,1588159.3959731543
79,574988.4792626728
80,508482.35294117645
81,1544836.0153256706
82,5438295.12195122
83,1812154.190751445
84,2396000.0
85,3981988.630490956
86,1722730.4747320062
87,7193196.296296297
88,817258.5209003215
89,1783153.8461538462
90,11333528.169014085
91,420768.53146853147
92,1722730.4747320062
93,5218043.75
94,1544836.0153256706
95,768840.625
96,2061363.5514018692
97,3343458.6592178773
98,1345466.5
99,6149883.22147651
100,1563503.4161490684
101,6877500.0
102,13920000.0
103,3482260.5263157897
104,1139056.25
105,1812154.190751445
106,19244625.72815534
107,1331667.2839506173
108,1693437.984496124
109,623827.5167785235
110,5492106.493506493
111,1891432.8063241106
112,501457.6923076923
113,3971280.0
114,1570905.7971014492
