Id,Predicted
0,1508805.309256928
1,1687553.2461107608
2,4618456.521021552
3,684620.1889405266
4,701118.846660842
5,832804.4540200861
6,13250368.946584973
7,1131024.4581979543
8,515633.3583592207
9,3949902.515789634
10,7135756.499384629
11,1795618.0640517813
12,4495266.117102595
13,703212.9783402312
14,1568090.2277618148
15,2992561.8779203612
16,657831.3415057004
17,1855557.2394981503
18,648012.4807313896
19,567760.259002874
20,2584170.5278897826
21,819541.9133835221
22,1574900.6141450242
23,2965276.9457077766
24,4674733.980910769
25,1257863.0457721467
26,4526254.178649311
27,1159714.05494672
28,10033592.24975115
29,518820.0284099564
30,8993866.809080271
31,6723324.535296725
32,917230.4955608211
33,4674733.980910769
34,1601887.1666590632
35,814331.612779716
36,793132.7965465317
37,6677278.383963726
38,23955978.18399936
39,4083792.1889138645
40,6569645.670972495
41,9802378.18314812
42,797670.1015663962
43,4311127.595708291
44,744199.0954788623
45,609624.3546111807
46,770339.8645369665
47,1631537.9447244988
48,555503.1373004487
49,12431951.667996388
50,680548.5511388147
51,657853.2049033081
52,2014595.0451320703
53,9868487.982779806
54,8545277.332103888
55,734055.9088600333
56,1312963.7106156019
57,3443490.005461286
58,2346173.6125357603
59,1682229.3659380302
60,7961956.3724392485
61,2587340.3569214256
62,4326870.77579823
63,2080846.3851179574
64,9868487.982779806
65,709855.4737284466
66,654834.319520198
67,590678.8372761068
68,832804.4540200861
69,641569.8920734224
70,816030.4832536278
71,4534908.213279558
72,3470051.501654471
73,1941304.9449402369
74,502518.8501931739
75,548310.4004166229
76,1534673.5089813839
77,576487.6905449048
78,1719262.6857566547
79,841131.1121641228
80,667437.0348924177
81,1462090.5849991501
82,6808278.5252793655
83,1870726.550290841
84,2426291.9255548976
85,4934245.908291118
86,2084397.1458029926
87,10799701.295069676
88,754773.4032734837
89,1905271.9939615647
90,11141634.102028204
91,513756.0282525759
92,1678148.2561832767
93,8970889.419314008
94,1529527.8337951982
95,751325.1154003826
96,1677817.1160599894
97,2793819.9294608156
98,1488620.645702822
99,14221219.12914981
100,1823487.4289701756
101,22099157.157447524
102,10404590.859012779
103,3574042.663757549
104,1205126.5058024516
105,1913751.7377103125
106,12795838.511461083
107,1770645.2702007438
108,17297437.5548048
109,657831.3415057004
110,5305614.714634909
111,1858647.5126044396
112,547547.4763827656
113,4318740.437476892
114,1534487.083008144
115,839444.6364739228
116,18049193.948693823
117,445713.99661504745
118,2883528.449809066
119,1653913.247690358
120,6395875.679262096
121,68769977.47132398
122,658637.6778423298
123,1832006.9092659664
124,6565989.718578616
125,2942524.727381574
126,1682229.3659380302
127,4546889.098705244
128,2923851.6083975364
129,17943372.859879807
130,8876430.292476818
131,5423723.281558125
132,3398661.536753374
133,671829.5457470741
134,9290453.99762724
135,2347555.072085825
136,4475737.834208136
137,2337383.6335963695
138,777701.8807787616
139,8666255.940161586
140,637068.8684965709
141,3325894.3979135277
142,2149437.348667465
143,601058.5606142844
144,22099157.157447524
145,2348359.7717180224
146,2781507.390924233
147,16304033.806059401
148,16990847.196711108
149,5905964.106644772
150,4976555.636543814
151,2293800.2426387738
152,873472.7880000543
153,1701618.6464948785
154,23094179.25616599
155,3091662.1986113116
156,7026953.445478611
157,2281580.802912866
158,5217174.945979786
159,4566859.420289437
160,1683593.578116649
161,3058504.9398539863
162,710318.1727584441
163,880610.5984573653
164,884866.5138126782
165,445713.99661504745
166,15613646.89165155
167,11541516.732188305
168,593940.7673127562
169,2061802.3593631065
170,8296454.917741632
171,2555791.6433166317
172,912216.9545678245
173,10413030.941323677
174,4445172.023409041
175,566838.8564132153
176,5062677.3230143115
177,1871296.0275204298
178,1604410.5577143922
179,2616910.4267550204
180,866258.6109189509
181,10413030.941323677
182,482656.3591585468
183,67784443.41430405
184,1772315.4599922919
185,903887.1098426994
186,1631935.971548645
187,2952372.832623294
188,4443488.2126201
189,1638266.4123920256
190,2584615.32921321
191,1581722.9769647694
192,1360059.8060428295
193,2958181.259514177
194,521731.9272253684
195,4313108.248374181
196,817940.031119575
197,1363629.2113951582
198,912216.9545678245
199,7622587.217075351
200,1337063.796857307
201,2937595.112715342
202,4441515.858979383
203,6536188.648642546
204,4268680.481535389
205,1786384.0120447888
206,4546889.098705244
207,1627437.7645593847
208,2444478.624975311
209,761764.9366719476
210,18619996.503916554
211,3677671.192588686
212,637068.8684965709
213,622903.5024755091
214,2511964.871265522
215,1272988.2456392264
216,4518688.309630698
217,1003068.164059431
218,2294328.8775744764
219,658121.3245706478
220,1650925.3792966513
221,468799.74339430116
222,875800.2359592002
223,34936488.68797009
224,1470201.481276588
225,900824.587453275
226,810391.3129573539
227,997162.4308170958
228,1607599.5391343767
229,465954.5232654433
230,880610.5984573653
231,1024513.9650557318
232,1929293.0258210152
233,6065289.965562803
234,3254219.7725213924
235,2016122.3882841528
236,2288625.9216990117
237,49887597.459171444
238,9868487.982779806
239,2379832.522821418
240,1944511.0118349288
241,848407.3209478091
242,3959798.804980562
243,6700601.485899824
244,777900.4524009562
245,1547722.5990745933
246,8276772.6851192685
247,7902492.082540853
248,7745264.485143085
249,2313566.6806593137
250,3647460.1434390172
251,3023638.4257696904
252,6808278.5252793655
253,13899002.17081959
254,786276.6521583053
255,10833869.288951572
256,6808278.5252793655
257,4768356.914932749
258,2516541.404117827
259,785671.2193388218
260,3620254.916506782
261,1666377.4095796808
262,4311127.595708291
263,763043.862985231
264,700951.2589848668
265,16560994.60748311
266,1777490.9362717797
267,56312099.763262644
268,887510.8397636721
269,3732818.6076941295
270,2314161.148127311
271,2098075.8176284963
272,1562862.4976244452
273,19882963.538734313
274,3378366.56779511
275,2787926.921284644
276,628696.1033011277
277,6705181.4938908955
278,581976.1053613452
279,61714281.11735777
280,1705949.0086835814
281,10727950.075366953
282,744199.0954788623
283,521209.3342009865
284,15112711.559717681
285,2092684.3462017127
286,1794232.1913381915
287,654544.3364552505
288,51850150.88043248
289,10573730.338900657
290,1632908.354300826
291,525671.2889370641
292,7124402.936977846
293,2057018.8211298182
294,4010023.833127182
295,1500699.0159532828
296,2690268.7007395546
297,804856.0782567997
298,3171208.1975893034
299,2086398.5233086504
300,3176304.400057564
301,56312099.763262644
302,1912770.4837633607
303,1890838.4966303203
304,30012069.54595413
305,556466.223657849
306,3889019.139194075
307,6886200.880780151
308,50522181.9010023
309,2887719.5512358663
310,8856878.612029824
